BOOKING_UNIT,MASTER_CLIENT_CODE,BOOKING_AGENCY_CODESUBCODE,RO_NO,RO_DATE,MASTER_CLIENT_NAME,MASTER_AGENCY_NAME,BOOKING_PACKAGE_CODE,MASTER_PACKAGE_NAME,BOOKING_COLOUR,ATTACHMENT1,ATTACHMENT2,BOOKING_ID
NA1,16937,SR26SRE5,23198,27-07-18 12:00:00,"NORTHERN RAILWAY, NEW DELHI",SRESHTA COMMUNICATIONS,AU28,AU-LKN,B,,,DNA1201900001488
NA1,18476,SI160SID24,1941,30-07-18 12:00:00,"N F RAILWAY,[MALIGAON]",SIDDHARTHA ADVERTISING,AU21,AU-LKN,B,,,DNA1201800000029
NA1,133067,AA27AAY4,237,31-07-18 12:00:00,"EAST CENTRAL RAILWAY,[HAJIPUR]","AAYUSHEE MEDIA CONSULTANTS,",AU2,AU-GKP,B,,,DNA1201800000025
NA1,152250,SR30SRE6,19673,31-07-18 12:00:00,"SOUTH WESTERN RAILWAY ,HUBLI",SRESHTA COMMUNICATIONS,AU17,AU-NWD,B,,,DNA1201800000021
NA1,18168,ME12MER2,2066,31-07-18 12:00:00,"WESTERN RAILWAY, MUMBAI",MERCANTILE ADVERTISING,AU17,AU-NWD,B,,,DNA1201800000026
AL0,2417,AN88ANU21,27645,31-07-18 12:00:00,"NORTH CENTRAL RAILWAY ,ALLAHABAD",ANU IMAGE MAKERS ADVERTISING PVT.LTD.,JH3,AU-JHS,B,ALD19AUG20_RO_0006_20200820160732.pdf,,DAL0202000004050
NA1,9437,AD356ADM18,177714,31-07-18 12:00:00,"NORTH WESTERN RAILWAY, JAIPUR",ADMAN ADVERTISING [JAIPUR],AU11,AU-CHD,B,,,DNA1201800000038
NA1,15981,AK11AKA5,269034,01-08-18 12:00:00,"INDIAN RAILWAY, NEW DELHI",AKAR ADVTG. & MKTG. PVT.LTD.,AU17,AU-NWD,B,,,DNA1201800000181
NA1,18173,AA27AAY4,326,01-08-18 12:00:00,"EAST CENTRAL RAILWAY, HAJIPUR","AAYUSHEE MEDIA CONSULTANTS,",AU17,AU-NWD,B,,,DNA1201800000118
NA1,3594,PA100PAM13,109831,02-08-18 12:00:00,"SOUTH EAST CENTRAL RAILWAY, BILASPUR",PAMM ADVERTISING & MARKETING,AU17,AU-NWD,B,,,DNA1201800000223
NA1,18464,HE15HEA8,654,03-08-18 12:00:00,"SOUTH EAST CENTRAL RAILWAY,[RAIPUR]",HEADLINERS ADVERTISING SERVICES PVT. LTD.,AU17,AU-NWD,B,,,DNA1201800000284
NA1,114090,DE8DEE1,3041,06-08-18 12:00:00,"WESTERN RAILWAY,[INDORE]",DEEPAK ADVERTISING AGENCY,AU29,AU-CHD,B,,,DNA1201800000502
LU0,95372,SA152SAT12,200675,07-08-18 12:00:00,"RAILWAY ELECTRIFICATION,[LUCKNOW]",SATYA ADVERTISING AGENCY,AU28,AU-LKN,B,,,DLU0201800000472
NA1,ME0,AD13ADU1,2673,09-08-18 12:00:00,"METRO RAILWAY, KOLKATA",ADUNIQUE  76,AU17,AU-NWD,B,,,DNA1201800000713
AG0,124376,AL79ALI8,2291,11-08-18 12:00:00,"RAILWAY BOARD, [AGRA]",ALIEN ADS,AU7,AU-AGR,B,,,DAG0201800000389
NA1,3625,AD22ADV8,1349,16-08-18 12:00:00,"EASTERN RAILWAY, KOLKATA",ADVERTISING BUREAU & CONSULTANTS,AU17,AU-NWD,B,,,DNA1201800001127
NA1,18978,PA39PAM9,20955,17-08-18 12:00:00,NORTH WESTERN RAILWAY NEW DELHI,PAMM ADVERTISING & MARKETING,AU29,AU-CHD,B,,,DNA1201800001218
CH0,5252,SP43SPE11,917,23-08-18 12:00:00,"RAILWAY RECRUITMENT BOARD, CHANDIGARH",SPEEDWAYS ADVTG.,AU28,AU-LKN,B,,,DCH0201800000904
NA1,40695,AL13ALA3,0758,28-08-18 12:00:00,"SOUTH CENTRAL RAILWAY,[HYDERABAD]",ALAKNANDA ADVERTISING PVT. LTD.,AU17,AU-NWD,B,,,DNA1201800001742
AL0,2452,KA191KAK6,4991,30-08-18 12:00:00,"RAILWAY VIDYUTIKARAN, ALLAHABAD",KAKA ADVERTISING AGENCY,AU9,AU-ALD,B,,,DAL0201800000720
NA1,221303,AK11AKA5,270046,31-08-18 12:00:00,"NORTHERN RAILWAY ,DELHI",AKAR ADVTG. & MKTG. PVT.LTD.,AU17,AU-NWD,B,,,DNA1201800001967
NA1,119862,SI160SID24,2323,05-09-18 12:00:00,"N F RAILWAY,[GUWAHATI]",SIDDHARTHA ADVERTISING,AU28,AU-LKN,B,,,DNA1201800002218
LU0,31866,U.47U.P46,131791,07-09-18 12:00:00,"POLICE ADHIKSHAK RAILWAY,[ALLAHABAD]",U.P.I.D.-[ALD],AU9,AU-ALD,B,,,DLU0201800002370
