FILE_NAME,GSTIN,CLIENT_CODE,CLIENT_NAME,CITY_NAME,RO_CLIENT_CODE,RO_CLIENT_NAME,AGENCY_NAME,AGENCY_CODE,AGENCY_CODE_SUBCODE,AD_CAT,AD_HEIGHT,AD_WIDTH,RO_NUMBER,RO_DATE,KEY_NUMBER,CATEGORY,COLOUR,AD_SUBCAT,PRODUCT,PACKAGE_NAME,INSERT_DATE,RO_REMARKS,AD_SIZE,Executive,PAGE_PREMIUM,POSITIONING,RO_RATE,RO_AMOUNT,EXTRACTED_TEXT
17mar22_ald_ro_0015_20220317164741.pdf,09AEFPG8298D2Z7,,RE PRAYAGRAJ PRAYAGRAJ,PRAYAGRAJ,,RE PRAYAGRAJ PRAYAGRAJ,Kaka Advertising Agency,,NONE,G02,8,8,1679/R.O./Kaka/Prayagraj/21-22,17-03-2022,PR-65/2022,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-ALD,18-03-2022,Less 15% Trade Discount & GST as applicable,64,,YES,GOOD,DAVP,,"1
for Kaka advertising Agency
Media Manager
2. Please send the ""3 Tear Sheet"" of the PUBLISHED ADVERTISEMENT
3. Please do not publish the advertisement if your Newspaper does not have valid 
DAVP Rate as on date of publishing of the advertisement. Agency is not liable for such 
payment regarding the invalid DAVP RATES.
Head Office. ""Kaka Advertising Agency, 3, Vidhan Sabha Marg, Behind Indian Overseas 
Bank, Lucknow-226001, Phone No. 0522-2284804 & 4080951. Telefax:- 0522-2621057. Mob. 
09415103460."" Email Id - k4kakalko@gmail.com
For any Query related the release order/ advertisement Kindly contact :- 
Mr. Rajeev Singh - 9450584958
Any Specified Rate Less 15% Trade Discount & GST as applicable
Any Other Instruction for the 
Advertisement Manager of the 
Publication
NOTE:-
1. We should receive the bill within 10 days from the day of publication otherwise will 
treat advertisement has been not published & the Release Order will be treated cancel 
from the agency side.
Size of the Advertisement w- 8 cm x h- 8 cm = 64 sqcm
Matter Enclosed Sending through Email
Rate DAVP psqcm
Category PUBLIC NOTIFICATION
Key no./ Caption PR-65/2022
Position GOOD
Client Name RE - PRAYAGRAJ
Date of Publication (Must) 18.03.2022
Matter Type BLACK & WHITE
Contact Person of Newspaper
To The Advertisement Manager AMAR UJALA - PRAYAGRAJ 
Kindly Publish the advertisement in HINDI
RELEASE ORDER
PAN No. AEFPG8298D GST No. 09AEFPG8298D2Z7
Release Order no. 1679/R.O./Kaka/Prayagraj/21-22 Date:- 17.03.2022
Kaka 
Advertising 
Agency
1/1A/1, 1st Floor, Kamla Nehru Road, Below Suraj Kund Lodge, 
Near Anglo Bengali Inter College, Allahabad - 211 001
Ph.: 0532 - 2408548, 07991292908, 07991292909, 07991292910 Tele Fax: - 0532 - 2408548
website:- www.kakaadvertising.com email- alldkaka@gmail.com, allahabad@kakaadvertising.com"
20july21_ald_ro_0018_20210719192832.pdf,07AAAFP7680H1Z1,95372,CENTRAL ORGANISATION FOR RAILWAY ELECTRIFICATION LUCKNOW,LUCKNOW,,CENTRAL ORGANISATION FOR RAILWAY ELECTRIFICATION LUCKNOW,PAMM ADVERTISING & MARKETING,,NONE,G02,7,8,146784,19-07-2021,,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-LKO,20-07-2021,GST NO. 07AAAFP7680H1Z1,56,,YES,BEST,DAVP,,"The Advertisement Manager
AMAR UJALA
.
.
Remarks GST NO. 07AAAFP7680H1Z1 
INSTRUCTIONS: Please note that we will not accept the publication of our clients' 
advertisements on a page or opposite page featuring advertisements clients' 
advertisements on a page or opposite page featuring advertisements of 
competitive products. Badly reproduced advertisements will not be accepted by 
us. Please call us in case you need fresh material. Checking copies must be sent to 
us and our clients. To facilitate prompt payment, your bill along with voucher copy 
should reach us before 10th of the following month. All disputes are subject to 
Delhi courts jurisdiction only. 
for PAMM ADVERTISING & MARKETING
Authorised Signatory
Caption TENDER AD - (PR-83 -2021) - B/W
Size 08 cm (W) x 07 cm (H)
DATE 20.07.2021
Position BEST 
Rate DAVP (GST EXTRA)
MATERIAL - 
RELEASE ORDER
(FULLY ACCREDITED WITH INS)
RO. NO - 146784
Date : 19.07.2021
Publications / Editions AMAR UJALA- LUCKNOW
Client CENTRAL ORGANISATION FOR RAILWAY ELECTRIFICATION"
ALD19AUG20_RO_0006_20200820160732.pdf,09AACCA0278K1ZL,2417,North Central Railway Jhansi,JHANSI,,North Central Railway Jhansi,Anu Image Maker Advertising Pvt. Ltd.,,NONE,G02,5,12,27645,18-08-2020,,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-JHA,20-08-2020,"1. Two voucher copies must be sent to us and two copies to our client.
2. While billing mention our R.O. No. and date positively.
3. Bill to be submitted within a week of publication of advertisement.
4. This advertisement is also available on our website and e-mail ID.",60,,NO,,DAVP,,"8/19/2020 https://anuimagemakers.com/anu/ro_receipt.php?rs_id=27645
https://anuimagemakers.com/anu/ro_receipt.php?rs_id=27645 1/1
Powered By The RNS Group Contact No. : +91 9026194869
PAN No.: AACCA0278K GST NO: 09AACCA0278K1ZL TelFax: 0532-2427571
Anu Image Maker Advertising Pvt. Ltd. (I.N.S. ACCREDITED)
L-45, Sangam Place, Civil Lines Allahabad (U.P.) PIN-211001
H. O. Hazaratganj, Lucknow Uttar Pradesh Mail: anuimagemakersadvt@gmail.com
Release Order
Release Order No. : 27645 Rel. Order Date : 18-08-2020
Client : North Central Railway Client Ord No : 876/20
Publication : Amar Ujala Edition : Jhansi,
Publ. Date : 20-08-2020 Insertions : 1+0
Size( Width * Height ) : 12 * 5 Total Space : 60 Sq. Cms
On Front: No Colored : No
Newspaper Rate: DAVP Hard Copy : Yes
Extra Commission : 0.00% Material Emailed: Yes
Instructions(lf Any) :
Instructions : 
1. Two voucher copies must be sent to us and two copies to our client.
2. While billing mention our R.O. No. and date positively.
3. Bill to be submitted within a week of publication of advertisement.
4. This advertisement is also available on our website and e-mail ID.
For Anu Image Maker Advertising Pvt. Ltd.
Authorised Signatory"
DNA1202200001505_20220204211451.pdf,19AADCS1615D1ZP,3625,Eastern Railway Kolkata,Kolkata,,Eastern Railway Kolkata,Sanket Communications Pvt. Ltd.,,NONE,G02,5,4,SCWB/17781/21-22,04-02-2022,SDAH-187,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-NWD,05-02-2022,Note : DAVP RATE APPLICABLE.,20,,YES,Good,53.31,952.00,"RELEASE ORDER Period : February 2022 
The Advertisement Manager
AMAR UJALA LIMITED (Lang : HIN)
Kolkata
R.O. No : SCWB/17781/21-22
Dated : 04/02/2022
Client : Eastern Railway
Product : Tender
Please release the following insertion as follows:
AMAR UJALA DELHI
Gross Amount: 1066.20
Net Amount: 906.27
CGST @ 2.5% on Media Cost: 22.66
SGST @ 2.5% on Media Cost: 22.66
Grand Total: 952.00
DATE OF
PUBLICATION SIZE CAPTION
KEY NUMBER RATE PREMIUM
RATE POSITION MATERIAL
05/02/2022 4(W) X 5(H)
Tender B/W
SDAH -187
Hindi
53.31 Per
SQC - Good Via Email
Enclosed
Note : DAVP RATE APPLICABLE.
For SANKET COMMUNICATIONS PVT.LTD.
Media Manager
Important: Inform us immediately if material found unsuitable for good reproduction to enable timely replacement.
(1) Forward voucher copies immediately after the insertion the client and to us. (2) Check above rate and notify us
immediately if incorrect. (3) In case unable to comply with above instruction or if release cannot be made, notify
immediately.(4) No two products of the same client should appear together in the same issue unless specified.
(5) Request Competitive ads be spaced apart.(6) Kindly send the material back after the ad is published.
CC to : 
GST APPLICABLE. KOLKATA GST IN - 19AADCS1615D1ZP
Page 1/1"
DNA1202200002451_20220224195701.pdf,23AADFA4855E1ZU,113642,NEER JABALPUR,JABALPUR,,NEER JABALPUR,APEX ADVERTISING,,NONE,G02,8,10.80,JBL/WCR/917,24-02-2022,,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-AGR,25-02-2022,Position: Good; Material: Soft Copy; Davp Rate Only Per sqcm,51,,YES,Good,DAVP,,"APEX ADVERTISING A 
95842 41200 
Zonal Office: Plot No. 264, 90 Quarters, Shakti Nagar, 
Near Ashish Darbar, Mother Dairy, Jabalpur, Madhya Pradesh 482 001 
Email: jabalpur@apexadvtg.com| GST No. 23AADFA4855E1ZU 
Tel 
(For West Central Railway Only) 
RO. NO:-JBLWCR/ O1 
917 Date:-202 o22 
RELEASE ORDER 
Ama jala (Agra) 
The Advertisement Manager 
Client2ALUR
Please release above Client's advertisement as follows: 
Release Date Size sqcm Caption 
2s/c2k02 S7e Dte-23.02-2o22 
Davp Rate Only Per sqcm￾Position:Good 
Material: Soft Copy 
Publish the Advt. on the scheduled date 
Please send us the bill along with 2 VTS Copy For APEX ADVERTISING
Media Manager Special Instruction 
Important: Infom us immediately if material found unsuitable for good reproduction to enable timely replacement (1) 
The release order is valid for West Central Railway only. (2) Forward voucher copies immediately after the release to 
our branch office. (3) Check the above rate/s and notfy us immediately if incorrect. (4) In case unable to comply with 
above instructions or if release cannot be made, notify immediately. (5) No two products of the same Client should 
appear together in the same issue unless specified. (6) Request Competitive ads be spaced apart. 
H.O Mumbai 
Cecil Court, 1st Floor, 19, Mahakavi Bhushan Marg, Next to Regal Cinema, Mumbai 400 001 
Tel: 2202 1576/1693/3073 | Fax: 91-22-2287 2655 
BRANCH OFFICES 
Ahmedabad Bhopal Bilaspur Delhi Jabalpur Jaipur Kota Nagpur Raipur Rajkot Bengaluru Hederabad Vadodara"
DNA1202400012782_20240809185928.pdf,,DG25,CID Crime Railways Gandhinagar,GANDHINAGAR,,CID Crime Railways Gandhinagar,Amar Ujala Daily,,NONE,G02,7,12,NO/INF/VPN/2024/G/735,09-08-2024,ENF/735/2024-25,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-GKP,10-08-2024,Bill in triplicate with advertisement cutting (full tear sheet) and two voucher copies to be sent within three days. One insertion only.,84,,YES,inner page,DAVP,,"NO/INF/VPN/2024/G/735
Directorate of Information,
Block No.19, Ground floor,
Dr. Jivraj Mehta Bhavan,
Gandhinagar-382010
Phone No. 079 23253387
Date-9/8/24

To,
The Advertisement Manager,
Amar Ujala Daily,
Bareli Edition

Sir,

Kindly publish the attached matter as classified advertisement in inner page of your newspaper for one insertion only.

Bill in triplicate in respect of each of the advertisement along with advertisement cutting (full tear sheet) and two voucher copies should be sent directly to the address mentioned below within three days of the publication of the advertisement. Extra copy should be sent addressed to Directorate of Information, Block No.19, Ground floor, Dr. Jivraj Mehta Bhavan, Gandhinagar, for Information.

Please quote the number and date of this letter in your bill for prompt action.

Size 7 x 12 = 84 Sq. cms

Date of Publication:10/8/24
Rate: DAVP

Yours Faithfully
do
Dy. Director of Information

Address for bill and voucher Copies:

D.G.P.,
C.I.D. Crime & Railways,
Police BHavan, Sector-18,
Gandhinagar, Gujarat, India

IN THE COURT OF SPECIAL JUDGE (G.P.I.D) & PRINCIPAL DISTRICT AND SESSIONS JUDGE, AHMEDABAD (RURAL) @ NAVRANGPURA.

FORM NO.4
PROCLAMATION REQUIRING THE APPEARANCE OF A PERSON ACCUSED
(See Section 82)

CID Crime, Ahmedabad Zone Police Station Crime Regi. No. 07/2022.
Whereas complaint has been made before me that Accused Azimuddin Shamshed Hussain Resi. Village - Parasakher, Rampur Road, C. B. Ganj Bareilly, Uttar Pradesh has committed (or is suspected to have committed) the offence under Section 114, 120(B), 406, 409, 420, 468, 471, 474, 477(A) of Indian Penal Code & U/s. 3 of The Gujarat Protection of Interest of Depositors (In Financial Establishment) Act, 2003, and it has been returned to a warrant of arrest thereupon issued that the said Azimuddin Shamshed Hussain cannot be found, and whereas it has been shown to my satisfaction that the said Azimuddin Shamshed Hussain has absconded (or is concealing himself to avoid the service of the said warrant);

Proclamation is hereby made that the said Azimuddin Shamshed Hussain Resi. Village - Parasakher, Rampur Road, C. B. Ganj Bareilly, Uttar Pradesh is required to appear before this court (or before me) to answer the said complaint on or before 29th August, 2024.

Dated: 29th July, 2024.
Ahmedabad
( KAMAL M. SOJITRA )
Special Judge (GPID) & Principal Sessions Judge,
Ahmedabad (Rural)

ENF/735/2024-25"
DNA1202500012755_20250729201948.pdf,27AACCD3150H1ZY,5252,Western Railway CHANDIGARH,CHANDIGARH,BVP,Western Railway CHANDIGARH,Degree 360 Solutions Pvt Ltd.,,NONE,G02,7,12,BVP/19152/07/25-26/PG,29-07-2025,WR - BVP - 87,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-CHD,30-07-2025,Please publish the ad in to the Language of the paper only,84,,YES,Good,DAVP,,"RELEASE ORDER Degree 360 Solutions Pvt Ltd. 
Fully INS & ASIC Accredited Agency 
Regd. Off.: 114, Pratap Bhawan, 5-BSZ Marg, New Delhi-110002
Ph: 011-41508791-92, Fax: 011-41508793
Prayagraj Contact: 9335106593, 7784086193, 8765374859
Jaipur Contact : 9636294948, 9799720200
Email: 360solution@gmail.com 
Website: www.degree360solutions.com 
MSME REGISTRATION NO. UDYAM-DL-03-0005082
To, 
The Advertisement Manager
Please publish the advertisement strictly as per the instructions given below. 
INSTRUCTIONS:
4. Kindly check the quality of material before publication. Poor reproduction will not be acceptable in any case. Authorised Signatory 
GST No. 27AACCD3150H1ZY
Branch Off: SF 3 Ganpati Square, Elgin Road, Prayagraj-211001 (Uttar Pradesh) Mobile No. 8765374859/9711404776
Branch Off:98, Burmese Colony, Jaipur‐302004 Mobile No. 9799720200, 9636294948
Branch Off: Arunaday Society, Smanvay Appt, (Basement) Near Crossword, Alkapuri, Vadodara‐390007, Mobile: 09898089405
Note: It is system generated release order signature not required 
For Degree 360 Solutions Pvt Ltd.
1. Bills must be sent in duplicate with full VTS & RO nos. within a week of the advt of the publication. 
2. Scheduled date and position should be strictly adhered for publishing the ad. 
3.Kindly send the bills as per the rates mentioned on the RO. No supplementary bills will be entertained for payment. Sd/-
Branch Off: Room No 6 Zaveri Bulding Old Nagardas Road Andheri East Mumbai - 400 069 (Maharashtra) Mobile No. 83696 49338/98213 00275
Branch Off: Basement Shop No. 20, Avtar Complex, Gorakhpur, Jabalpur, (Madhya Pradesh), Mobile No. 7770932224 / 9971130775
Rate DAVP RATE
Opp ID
File Name
Position Good
Material Status: Material sent by mail. Please publish the ad in to the Language of the paper only
Key No. WR - BVP - 87
Size 12 CM (W) X 07 CM (H) 
Colour B & W
Date of Publication 30.07.2025
Edition CHANDIGARH
Client Western Railway- (BVP)
Caption W/118/NISU/TENDER 2025-26
H. O. Media Contact: Ph.: 8800609339
Release Order No. : BVP/19152/07/25-26/PG
Date : 29.07.2025
AMAR UJALA
Publication AMAR UJALA"
DNA1202500014140_20250819210125.pdf,27ADQFS1379H1ZI,5252,Western Railway CHANDIGARH,CHANDIGARH,,Western Railway CHANDIGARH,SPAN COMMUNICATIONS,,NONE,G02,4,8,4647,19-08-2025,,Display,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-CHD,20-08-2025,Topical Ad - No Make Good If Missed. Please share E-Paper immediately after the AD is published. Please send 2 sets of Voucher Tear Sheet along with Bill. Less: 15% Agency Commission / Good Production Quality.,32,,YES,GOOD POSITION,DAVP,,"Kind Attention :
RELEASE ORDER
The Advertisement Manager RO NO. 4647
DATE 19.08.2025
Client :- Western Railway - Vadodara
Please release 1 insertions follows : 
Ad Type :- WR Vadodara BRC - 148
Publication Language Edition Release Date Hue Ad Size Gross DAVP 
Rate Psqcm Position Material
Amar Uajala Hindi Chandigarh 20.08.2025 BW 8 (W) X 04 (H) As per DAVP 
Rate 
GOOD 
POSITION
Ready Hindi Material
GST No:- 27ADQFS1379H1ZI 
GST as applicable
Media Department 
1324,13th Floor, Hubtown Solaris, N. S Phadke Marg, 
Opp. Teli Galli, Near East-West Flyover, Andheri (East), Mumbai - 400069
Tel: 26822360 / 26822361 / 26822362
Topical Ad - No Make Good If Missed
Please share E-Paper immediately after the AD is published. 
Please send 2 sets of Voucher Tear Sheet along with Bill
Less: 15% Agency Commission / Good Production Quality 
1. No Jackets / Flaps / Innovations should appear above our ad if it is scheduled on the Front For SPAN COMMUNICATIONS
 Page specially for our client Haldiram’s Front Page advertisements.
2. Prior intimation and approval from us is a must if Jackets / Flaps / Innovations are to appear 
 above our front page ad for all our other clients.
3. Competitor client’s ad should not be published on the same page.
4. Inform us immediately if material found unsuitable for good reproduction to enable timely replacement.
5. Forward bill and voucher copies immediately after the insertion to us.
6. Check above rate and notify us immediately if incorrect.
7. In case unable to comply instructions or if release cannot be made. notify immediately.
8. No two products of the same client should appear together in the same issue unless specified
Amar Uajala
-"
LKN20DEC22_RO_19-R_20201221184544.pdf,,NO79,RAILWAY Gonda,Gonda,LKN-ANI30-00150,RAILWAY Gonda,AMAR UJALA LIMITED,,NONE,G02,4,11,LKN-ANI30-00150,21-12-2020,1,Display,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-GKP,22-12-2020,North eastrailway gonda,44.00,,YES,LAST PAGE,DAVP,5586.30,"AMAR UJALA LIMITED
formery known as Amar Ujala Publications Limited
DIGITAL RELEASE ORDER
Retainer Name                    ANIL KUMAR PATHAK,(GONDA)          Client Name                      NEW CLIENT
Retainer Address                                                    Client Address                  Gonda
RO Number                       LKN-ANI30-00150                    Contact No                     9415488328
RO Date                         21/12/2020                       Client's Gst                   
Tone                            BLACK & WHITE                     Ad Height                      4
Edition                        Lucknow                         Ad Width                       11
Suppliment                    My city                          Ad Area                        44.00
Publish Date                  22/12/2020                     Ad Position                    LAST PAGE
Remarks                : North eastrailway gonda
Amount(Excl. Gst)               5586                              Client RO No                  1
Amount With GST                5586.30                          Amount Received               0
Paymode                        UPC CASH                        Client RO Attached            YES
Cheque No                                                        Ad Art Work Attached        YES
Cheque Date                                                     
Bank Name                                                      
This is a system generated document based on the information uploaded by retainter thru online system. No signature is required.
ANI30/21-DEC-2020/18:12:23"
Ro Police Adikshak _20240614200841.pdf,09AFGPA9681J1Z1,111575,Police Adhikshak Railway Agra,Agra,,Police Adhikshak Railway Agra,Alien Ads,,NONE,G02,4,4,AGR-1075/2024-25,14-06-2024,,Tender,B,GOVT. DISPLAY,DISPLAY ADVERTISING,AU-AGR,15-06-2024,Competitive advertisement should not be appear on the same or opposite.,16,,YES,Best,66.99,957,"RELEASE ORDER
News Paper : Amar Ujala Publication Ltd GST No. : 09AFGPA9681J1Z1 R.O. No.: AGR-1075/2024-25
Client : Police Adhikshak Railway PAN No. : AFGPA9681J Scheme : N/A
Caption : DAVP State Code : 09 Date : 14 Jun 2024
 Kindly insert the following advertisements in your publication on the date mentioned below :
 Edition Publish Date Size (H*W) Quantity Material Position Rate(Sq.cm) Amount
Agra Edition 15 Jun 2024 4 * 4 1 Ads By Mail Best 66.99 1072
Remark :
Total Amount 1072/-
Trade Discount (15%) 161/-
SGST Tax (2.5%) 23/-
CGST Tax (2.5%) 23/-
Payable Amount 957/-
DETAIL OF PAYMENT MADE TO PUBLICATION :-
PAYMENT TYPE CHEQUE NO. DD NO. DATE BANK NAME AMOUNT
ATTENTION :
1. Competitive advertisement should not be appear on the same or opposite.
2. If you are unable to publish the advertisement on the date scheduled, Please inform us immediately.
3. All bills along with tearsheet must be send to ALIEN ADS with in 15 Days from the publication date of Advertisement.
4. Publication will be responsible for delayed payment due to late receipt of bills and teersheets.
5. Disputes, if any, will be subject to Agra Jurisdiction only.
For Alien Ads 
(Authorized Signatory)
Print By : Vishnu Dagaur
Head Office : Block-28/2, F-114, Opp. Post Office Sanjay Place, Agra - 282002 (U.P.)
Ph.: 0562-4003098 | 6457098, 9917125666, 9837093098 E-Mail : alienads2@gmail.com Website : www.alienads.in
Corporate Office : 206, 2nd Floor, A-1 Sec-59, Noida - (U.P.)
Ph.: 8979352210
PRINT MEDIA • OUTDOOR MEDIA • ELECTRONIC MEDIA
Powered by TCPDF (www.tcpdf.org)"
