FILE_NAME,AGENCY_NAME,GSTIN,AGENCY_CODE,Agency_code_subcode,CLIENT_CODE,CLIENT_NAME,CITY_NAME,RO_CLIENT_CODE,RO_CLIENT_NAME,RO_NUMBER,RO_DATE,KEY_NUMBER,CATEGORY,COLOUR,AD_CAT,AD_SUBCAT,PRODUCT,BRAND,PACKAGE_NAME,INSERT_DATE,RO_REMARKS,AD_HEIGHT,AD_WIDTH,AD_SIZE,Executive,PAGE_PREMIUM,POSITIONING,RO_RATE,RO_AMOUNT,EXTRACTED_TEXT
1058 Release_Order.pdf,Degree 360 Solutions Pvt Ltd.,07AACCD3150H1Z0,NONE,SA1462SAM213,NONE,Northern Railway (NR),NEW DELHI,NONE,Northern Railway,115768,30-03-2026,NR1058/2026,Tender,B,G02,GOVT.TENDER,TENDER,,AU-NWD,31-03-2026,SPECIAL INSTRUCTIONS 1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O 2. KINDLY SEND YOUR BILLS IN TRIPLICATE. 3. PLEASE TRANSLATE TEXT INTO ..............,10,8,80,,YES,GOOD,81.39,6511.2,"ISSUED FROM
NEW DELHI
Degree 360 Solutions Pvt Ltd.
Fully INS & ASIC Accredited Agency
GSTIN 07AACCD3150H1Z0
RELEASE ORDER
Regd. Off.: 114, Pratap Bhawan, 5-BSZ Marg, New Delhi-110002, Ph: 011-41508791-92, Fax: 011-41508793, H. O. Media
Contact: Ph.: 8800609339 Branch Off: SF 3 Ganpati Square, Elgin Road, Prayagraj - 211001 (Uttar Pradesh) Prayagraj Contact:
9335106593, 7784086193, 8765374859, Jaipur Contact : 9636294948, 9799720200 Email: 360solution@gmail.com, Website:
www.degree360solutions.com MSME REGISTRATION NO. UDYAM-DL-03-0005082
The Advertisement Manager
AMAR UJALA ( DELHI )-HINDI
GSTIN: RO. No.: 115768
Date : 30-Mar-2026
Please insert advertisement of our client: Northern Railway (NR)
State Entry Road, New Delhi - , 110001
In your publication in accordance with the specifications and conditions given under here:
Date of Insertion Advt. No. Headline Size Position Material
31-Mar-2026 NR1058/2026
TENDR NOTICE
Width x Height
8 10
Total= 80 S q .cm
GOOD Mail
Black&White Rate: 81.39 Per Sq.cm + GST Extra
Remarks:
SPECIAL INSTRUCTIONS
1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS
ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O
2. KINDLY SEND YOUR BILLS IN TRIPLICATE.
3. PLEASE TRANSLATE TEXT INTO ..............
BILLS(S) PERTAINING TO THE ABOVE INSERTION(S) AND ALL
CORRESPONDENCE RELATING TO THIS ORDER SHOULD BE
SENT/ADDRESSED TO OUR DELHI OFFICE UNLESS IT IS
SPECIFIED IN OUR RO/MAIL.
For Degree 360 Solutions Pvt Ltd
Media Department"
1068 Release_Order.pdf,Degree 360 Solutions Pvt Ltd.,07AACCD3150H1Z0,NONE,SA1462SAM213,NONE,Northern Railway (NR),NEW DELHI,NONE,Northern Railway,115220,30-03-2026,NR1068/2026,Others,B,G02,GOVT. DISPLAY,OTHERS,,AU-NWD,31-03-2026,SPECIAL INSTRUCTIONS 1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O 2. KINDLY SEND YOUR BILLS IN TRIPLICATE. 3. PLEASE TRANSLATE TEXT INTO ..............,3,8,24,,YES,GOOD,98.18,2356.32,"ISSUED FROM
NEW DELHI
Degree 360 Solutions Pvt Ltd.
Fully INS & ASIC Accredited Agency
GSTIN 07AACCD3150H1Z0
RELEASE ORDER
Regd. Off.: 114, Pratap Bhawan, 5-BSZ Marg, New Delhi-110002, Ph: 011-41508791-92, Fax: 011-41508793, H. O. Media
Contact: Ph.: 8800609339 Branch Off: SF 3 Ganpati Square, Elgin Road, Prayagraj - 211001 (Uttar Pradesh) Prayagraj Contact:
9335106593, 7784086193, 8765374859, Jaipur Contact : 9636294948, 9799720200 Email: 360solution@gmail.com, Website:
www.degree360solutions.com MSME REGISTRATION NO. UDYAM-DL-03-0005082
The Advertisement Manager
AMAR UJALA ( LUCKNOW )-HINDI
GSTIN: RO. No.: 115220
Date : 30-Mar-2026
Please insert advertisement of our client: Northern Railway (NR)
State Entry Road, New Delhi - , 110001
In your publication in accordance with the specifications and conditions given under here:
Date of Insertion Advt. No. Headline Size Position Material
31-Mar-2026 NR1068/2026
CORRIGENDUM
Width x Height
8 3
Total= 24 S q .cm
GOOD Mail
Black&White Rate: 98.18 Per Sq.cm + GST Extra
Remarks:
SPECIAL INSTRUCTIONS
1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS
ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O
2. KINDLY SEND YOUR BILLS IN TRIPLICATE.
3. PLEASE TRANSLATE TEXT INTO ..............
BILLS(S) PERTAINING TO THE ABOVE INSERTION(S) AND ALL
CORRESPONDENCE RELATING TO THIS ORDER SHOULD BE
SENT/ADDRESSED TO OUR DELHI OFFICE UNLESS IT IS
SPECIFIED IN OUR RO/MAIL.
For Degree 360 Solutions Pvt Ltd
Media Department"
1071 AMAR UJALA - MORADABAD - HINDI.pdf,AMAR UJALA LIMITED,07AADCA3901E1Z9,NONE,SA1462SAM213,NONE,NORTHERN RAILWAY,MORADABAD,NONE,NORTHERN RAILWAY,557960,30-03-2026,1071/2026,Tender,B,G02,GOVT.TENDER,TENDER,,AU-MBD,31-03-2026,PLEASE SEND THE BILL ALONG WITH 2 SET VTS WITH IN 15 DAYS AFTER PUBLISHING THE ADVT.,7.0,12.0,84.0,,YES,BEST-RHS PAGE REQUESTED,44.49,3737.16,"RELEASE ORDER
(Fully Accredited With INS)
The Advertisement Manager: 557960
30/03/2026
No. :
Date :
Client NORTHERN RAILWAY
Release Date
Caption
Size (Width x Height)
AMAR UJALA LIMITED
Publication/Edition
31/03/2026
Position BEST-RHS PAGE REQUESTED
Rate
Material Send By Email (Available - akarad.com)
12.00cm(W) X7.00cm(H) Black&White
Remarks PLEASE SEND THE BILL ALONG WITH 2 SET VTS WITH IN 15 DAYS AFTER PUBLISHING THE 
ADVT.
AMAR UJALA - MORADABAD - HINDI
Rate 44.49 Per Sq. Cm +GST Extra
1071/2026
Category TENDER B&W
Instructions: Please note that we will not accept Publication of our 
client's advertisements on a page or opposite page featuring 
advertisements of competitive products. Badly reproduced advertisement 
will not be accepted by us. Please call us in case you need fresh 
material. Checking copies must be send to us and our client. To facilitate 
prompt payment, your bill along with voucher copy should reach us 
before 10th of the following month. 
All disputes are subject to Delhi court’s jurisdiction only.
For AKAR Advertising and Marketing Pvt. Ltd. 
Authorised Signatory"
1078 Release_Order.pdf,Degree 360 Solutions Pvt Ltd.,07AACCD3150H1Z0,NONE,SA1462SAM213,NONE,Northern Railway (NR),NEW DELHI,NONE,Northern Railway,115965,30-03-2026,NR1078/2026,Recruitment,B,G02,GOVT. DISPLAY,RECRUITMENT,,AU-NWD,31-03-2026,SPECIAL INSTRUCTIONS 1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O 2. KINDLY SEND YOUR BILLS IN TRIPLICATE. 3. PLEASE TRANSLATE TEXT INTO ..............,27,12,324,,YES,Mail,44.49,,"ISSUED FROM
NEW DELHI
Degree 360 Solutions Pvt Ltd.
Fully INS & ASIC Accredited Agency
GSTIN 07AACCD3150H1Z0
RELEASE ORDER
Regd. Off.: 114, Pratap Bhawan, 5-BSZ Marg, New Delhi-110002, Ph: 011-41508791-92, Fax: 011-41508793, H. O. Media
Contact: Ph.: 8800609339 Branch Off: SF 3 Ganpati Square, Elgin Road, Prayagraj - 211001 (Uttar Pradesh) Prayagraj Contact:
9335106593, 7784086193, 8765374859, Jaipur Contact : 9636294948, 9799720200 Email: 360solution@gmail.com, Website:
www.degree360solutions.com MSME REGISTRATION NO. UDYAM-DL-03-0005082
The Advertisement Manager
AMAR UJALA ( MORADABAD )-HINDI
GSTIN: RO. No.: 115965
Date : 30-Mar-2026
Please insert advertisement of our client: Northern Railway (NR)
State Entry Road, New Delhi - , 110001
In your publication in accordance with the specifications and conditions given under here:
Date of Insertion Advt. No. Headline Size Position Material
31-Mar-2026 NR1078/2026
Appointment
Notice
Width x Height
12 27
Total= 324 S q .cm
Good Mail
Black&White Rate: 44.49 Per Sq.cm + GST Extra
Remarks:
SPECIAL INSTRUCTIONS
1. IF WE DO NOT RECEIVE YOUR BILL AND VOUCHER WITHIN 10 (TEN) DAYS FROM THE DATE OF PUBLISHING THIS
ADVERTISEMENT WE WILL NOT MAKE THE PAYMENT AGAINST THIS R.O
2. KINDLY SEND YOUR BILLS IN TRIPLICATE.
3. PLEASE TRANSLATE TEXT INTO ..............
BILLS(S) PERTAINING TO THE ABOVE INSERTION(S) AND ALL
CORRESPONDENCE RELATING TO THIS ORDER SHOULD BE
SENT/ADDRESSED TO OUR DELHI OFFICE UNLESS IT IS
SPECIFIED IN OUR RO/MAIL.
For Degree 360 Solutions Pvt Ltd
Media Department"
1115 AMAR UJALA.pdf,Critique Communication Pvt.Ltd.,07AABCC3732H1ZY,NONE,SA1462SAM213,NONE,NORTHERN RAILWAY,DELHI,NONE,NORTHERN RAILWAY,1115/30,02-04-2026,1115-2026,Tender,B,G02,GOVT.TENDER,TENDER,,AU-JMU,03-04-2026,Matter must be translated in paper language.,8,12,96,MEDIA MANAGER,YES,BEST,DAVP,,"RELEASE ORDER 
 
 602, 6th floor, Akashdeep Building, 
 Barakhamba Road, New Delhi-110001 
 Tel.: 011-23717804-05 
GST NO. 07AABCC3732H1ZY 
R.O. NO. : 1115/30 
DATE : 02.04.2026 
THE ADVERTISEMENT MANAGER 
 
AMAR UJALA 
 
EDITION: JAMMU 
LANGUAGE: HINDI 
 
 KEY NO/CAPTION. : 1115-2026
 
Client : NORTHERN RAILWAY. 
 
Product : TENDER 
Page Position : BEST 
 Matter must be translated in paper language. 
IMP. Note: If Publication Not having DAVP Rate on the Publication Date do not publish the Advt.
1. Please submit your 2 Copies of Bill along with tear sheets within 15 days. 
 Late submission of Bill will not be entertained. 
2. Mention your GSTN Registration & Pan no. in the bill. 
3. Provide your Bank Details with IFSC code and cancelled cheque For RTGS Payment. 
4. Please Submit your MSME Certificate this is mandatory for all. 
PS : For any query please call 011-23717804-05 
For Critique Communication Pvt.Ltd. 
 MEDIA MANAGER 
 8527393303 
 9999458605
DATE OF 
INSERTION 
SIZE 
COLOUR/ 
B&W RATE MATERIAL 
WIDTH(cm) HEIGHT(cm) TOTAL SIZE (sq.cm.)
 03.04.2026 12 8 96 B/W DAVP ENCLOSED 
MUST (+GST AS APPLICABLE)"
23823-4_20240101192147.pdf,Amar Ujala,06AAHTS9673C1Z5,NONE,SA1254SAM190,NONE,Excise and Taxation,Chandigarh,NONE,Excise and Taxation,1037/13/3/2024/23823/1/4,31-12-2023,SAMVAD:-1037/13/3/2024/23823,Display,C,G02,GOVT. DISPLAY,DISPLAY ADVERTISING,,AU-CHA,02-01-2024,Display advt,,,400,,YES,Any Page,35.55,19908,"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION 
AND VALUE ADDED DISSEMINATION OF INFORMATION
ADVERTISEMENT RELEASE ORDER 
Advertisement Code 
SAMVAD:-1037/13/3/2024/23823
RO No.:-1037/13/3/2024/23823/1/4
Dated Chandigarh, the 31/12/2023
From :
MD -Cum- CEO
SAMVAD,Room No 314, 
Mini Secreteriat,Sector 1, Panchkula - 134109
GSTIN - 06AAHTS9673C1Z5
To
Amar Ujala
Kindly publish the following advertisement in your publication(s) as per details given below:-
A. General:
S.No Item Description
1. Name of the Client Department/ Organisation 
Dept. to which advt. relates Excise and Taxation
2. Office/ Authorized Officer of client department 
to which advt. relates
Collector-cum-Addl.Excise&Taxation Commisioner,The 
Excise & Taxation Commisioner,Hry, Panchkula
3. Ref. No/Date 1072/ST-1/'29-12-2023'
5. Remarks Display advt 
B. Advertisement Details:
1. Subject matter of the advertisement Display
2. Caption of the advertisement, if any Display
Sr RO No Newspaper Name/ 
Publication Date/ Not Later 
Than
Type/ Size/ Position/ 
Color or B&W
Rate/ Rate 
extra (if 
any)
Final Amount (Rs)
1 1037/13/3/2024/2382
3/1/4
Amar Ujala, Chandigarh
'02-01-2024' '02-01-2024'
DISPLAY / 400.00 (Sq. 
cm) /Any Page
Colored
Rs.35.55
(Per 
Sq.cm)
0.00%
40.00%
Rs. 19,908.00
C. Advertisement Display Details
Total Cost: Rs. 19,908.00
D. Terms & Conditions for release of advertisements:
i Publication Issue Publish the advertisement only in the main issue. In supplement 
(when required).
ii Space adjustment The advertisement is to be published in the same size as 
indicated above or minimum appropriate space. If space 
used is less than as indicated above then the bill be 
raised accordingly.
iii Translation of text In case of display advertisements, the text / language be 
published as provided by the department, don't translate 
it in any language without prior permission. 
iv Release Order Details In the advertisement to be published the Release Order 
No. and date be published in the same format as it has 
been indicated on the advertisement or in case it has not 
been indicated then the font size of the Release Order No. 
and date should not exceed 8 point-size and it should be 
printed at the bottom of the advertisement.
v Deduction Applicable 1. 10% deduction will be applicable for Advertisement 
Published in less favourable position as mentioned in 
Release order.
2. 50% deduction will be applicable for Advertisement 
Published in Irrelevant/Inappropriate Section / position.
3. 100% deduction will be applicable for Advertisement 
published later than the date mentioned in Release order.
SAMVAD Office: S.C.O. 23, Sector 7-C,Madhayamarg Chandigarh-160019 Ph: 0172 5088525-26-27

SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION 
AND VALUE ADDED DISSEMINATION OF INFORMATION
vi Forwarding copies of the issue of the publication 
carrying the advertisement
A copy of the each of the issue of the 
publication/edition carrying the advertisement must be 
sent direct to the client department/organization and 
also to the Executive Director (SAMVAD) at the above￾mentioned address as has been indicated in the sender 
column under postal certificate within 7 days of the 
publication.
vii Rate Payable The rates are DAVP or DIPR applicable. At the time of any 
rate revision, department may be notified or informed 
immediately.
viii Bills Bills must be submitted within a period of one month 
from the date of publication of advertisement. In case of 
non-submission of bill within the stipulated period, bill 
of current date be issued i.e. date of submission of bill 
be mentioned in the bill.
1. In Case of Display advertisement 15% discount will 
be applicable by SAMVAD. 
2. In Case of Classified & Indicative Board & 
Corporations processing fee @ 2% (1% each from 
Concerned B&C and 1% from Media Houses).
ix In case of advertisement material found to be 
unsuitable for good re production
Please inform us immediately if the material released 
for advertisement is found unsuitable for good re￾production to enable timely replacement.
x Concurrent release of advertisement of same 
client department/ organization
The multiple advertisement (especially display advt.) 
release of the same client should not appear together 
on the same page and also in the same issue unless 
otherwise specified. In case of display advertisement. 
Further, Display advertisement, duly designed and 
released by the department should be fully reproduced 
without any reduction in size. No change in the 
advertisement content, language and format be done 
without prior concurrence of the M.D -Cum- CEO 
(SAMVAD).
xi Display Advertisement Display advertisement, duly designed and supplied by 
us, should be fully reproduced without any reduction in 
size. No change in the advertisement content and 
format be done without prior concurrence of the M.D -
Cum- CEO/Execitive Director (SAMVAD).
xii Date of Publication of the Advertisement Advertisement should be published on the dates 
specified in the release order/scheduled dates. If the 
scheduled date is missed then the advertisement be 
treated as cancelled.
xiii Return of Advertisement Material Only required when needed by billing team.
xiv Disputes Arbitration All disputes subject to the jurisdiction of Chandigarh. 
In case of dispute, the matter would be referred to the 
Financial Commissioner/Commissioner & Secretary to 
Govt. Information, Public Relations and Cultural Affairs 
Department, Haryana for arbitration.
xv GST GST as applicable
Office Manager (Advertisements)
for MD -Cum- CEO (SAMVAD),
Haryana, Chandigarh
Note : This is computer generated Release Order, does not require signature.
SAMVAD Office: S.C.O. 23, Sector 7-C,Madhayamarg Chandigarh-160019 Ph: 0172 5088525-26-27"
23823-7_20240101192356.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,
23830-7_20240101175205.pdf,Amar Ujala,06AAHTS9673C1Z5,NONE,SA1254SAM190,NONE,Shri Vishwakarma Skill University,CHANDIGARH,NONE,Shri Vishwakarma Skill University,2208/11/94/2024/23830/C/1/7,01-01-2024,SAMVAD:-2208/11/94/2024/23830/C,Recruitment,B,G02,GOVT. DISPLAY,RECRUITMENT,,AU-NWD,02-01-2024,NOTICE,,,88,,YES,Any Page,53.5,4708,"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION 
AND VALUE ADDED DISSEMINATION OF INFORMATION
ADVERTISEMENT RELEASE ORDER 
Advertisement Code 
SAMVAD:-2208/11/94/2024/23830/C
RO No.:-2208/11/94/2024/23830/C/1/7
Dated Chandigarh, the 01/01/2024
From :
MD -Cum- CEO
SAMVAD,Room No 314, 
Mini Secreteriat,Sector 1, Panchkula - 134109
GSTIN - 06AAHTS9673C1Z5
To
Amar Ujala
Kindly publish the following advertisement in your publication(s) as per details given below:-
A. General:
S.No Item Description
1. Name of the Client Department/ Organisation 
Dept. to which advt. relates Shri Vishwakarma Skill University
2. Office/ Authorized Officer of client department 
to which advt. relates
Deputy Registrar,Shri Vishwakarma Skill University, 
Dudhola, Palwal 
Transit Office, Sector - 44, Gurugram
3. Ref. No/Date SVSU/PRO/2023/997/'30-12-2023'
5. Remarks NOTICE
B. Advertisement Details:
1. Subject matter of the advertisement Recruitment
2. Caption of the advertisement, if any Recruitment
Sr RO No Newspaper Name/ 
Publication Date/ Not Later 
Than
Type/ Size/ Position/ 
Color or B&W
Rate/ Rate 
extra (if 
any)
Final Amount (Rs)
1 2208/11/94/2024/238
30/C/1/7
Amar Ujala, Delhi
'02-01-2024' '02-01-2024'
Classified / 88.00 (Sq. cm) 
/Any Page
B&W
Rs.53.50
(Per 
Sq.cm)
0.00%
0.00%
Rs. 4,708.00
C. Advertisement Display Details
Total Cost: Rs. 4,708.00
D. Terms & Conditions for release of advertisements:
i Publication Issue Publish the advertisement only in the main issue. In supplement 
(when required).
ii Space adjustment The advertisement is to be published in the same size as 
indicated above or minimum appropriate space. If space 
used is less than as indicated above then the bill be 
raised accordingly.
iii Translation of text In case of display advertisements, the text / language be 
published as provided by the department, don't translate 
it in any language without prior permission. 
iv Release Order Details In the advertisement to be published the Release Order 
No. and date be published in the same format as it has 
been indicated on the advertisement or in case it has not 
been indicated then the font size of the Release Order No. 
and date should not exceed 8 point-size and it should be 
printed at the bottom of the advertisement.
v Deduction Applicable 1. 10% deduction will be applicable for Advertisement 
Published in less favourable position as mentioned in 
Release order.
2. 50% deduction will be applicable for Advertisement 
Published in Irrelevant/Inappropriate Section / position.
3. 100% deduction will be applicable for Advertisement 
published later than the date mentioned in Release order.
SAMVAD Office: S.C.O. 23, Sector 7-C,Madhayamarg Chandigarh-160019 Ph: 0172 5088525-26-27

SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION 
AND VALUE ADDED DISSEMINATION OF INFORMATION
vi Forwarding copies of the issue of the publication 
carrying the advertisement
A copy of the each of the issue of the 
publication/edition carrying the advertisement must be 
sent direct to the client department/organization and 
also to the Executive Director (SAMVAD) at the above￾mentioned address as has been indicated in the sender 
column under postal certificate within 7 days of the 
publication.
vii Rate Payable The rates are DAVP or DIPR applicable. At the time of any 
rate revision, department may be notified or informed 
immediately.
viii Bills Bills must be submitted within a period of one month 
from the date of publication of advertisement. In case of 
non-submission of bill within the stipulated period, bill 
of current date be issued i.e. date of submission of bill 
be mentioned in the bill.
1. In Case of Display advertisement 15% discount will 
be applicable by SAMVAD. 
2. In Case of Classified & Indicative Board & 
Corporations processing fee @ 2% (1% each from 
Concerned B&C and 1% from Media Houses).
ix In case of advertisement material found to be 
unsuitable for good re production
Please inform us immediately if the material released 
for advertisement is found unsuitable for good re￾production to enable timely replacement.
x Concurrent release of advertisement of same 
client department/ organization
The multiple advertisement (especially display advt.) 
release of the same client should not appear together 
on the same page and also in the same issue unless 
otherwise specified. In case of display advertisement. 
Further, Display advertisement, duly designed and 
released by the department should be fully reproduced 
without any reduction in size. No change in the 
advertisement content, language and format be done 
without prior concurrence of the M.D -Cum- CEO 
(SAMVAD).
xi Display Advertisement Display advertisement, duly designed and supplied by 
us, should be fully reproduced without any reduction in 
size. No change in the advertisement content and 
format be done without prior concurrence of the M.D -
Cum- CEO/Execitive Director (SAMVAD).
xii Date of Publication of the Advertisement Advertisement should be published on the dates 
specified in the release order/scheduled dates. If the 
scheduled date is missed then the advertisement be 
treated as cancelled.
xiii Return of Advertisement Material Only required when needed by billing team.
xiv Disputes Arbitration All disputes subject to the jurisdiction of Chandigarh. 
In case of dispute, the matter would be referred to the 
Financial Commissioner/Commissioner & Secretary to 
Govt. Information, Public Relations and Cultural Affairs 
Department, Haryana for arbitration.
xv GST GST as applicable
Office Manager (Advertisements)
for MD -Cum- CEO (SAMVAD),
Haryana, Chandigarh
Note : This is computer generated Release Order, does not require signature.
SAMVAD Office: S.C.O. 23, Sector 7-C,Madhayamarg Chandigarh-160019 Ph: 0172 5088525-26-27"
23833-4_20240101175435.pdf,Amar Ujala,06AAHTS9673C1Z5,NONE,SA1254SAM190,NONE,Multi Department,CHANDIGARH,NONE,Multi Department,13/2024/40/23833/I/1/4,01-01-2024,,Tender,B,G02,GOVT.TENDER,TENDER,,AU-CHA,02-01-2024,Tender,,,40.0,,YES,Any Page,35.55,1422.0,"SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION 
AND VALUE ADDED DISSEMINATION OF INFORMATION
ADVERTISEMENT RELEASE ORDER 
Advertisement Code SAMVAD:-13/2024/40/23833/I
RO No.:-13/2024/40/23833/I/1/4
Dated Chandigarh, the 01/01/2024
From :
MD -Cum- CEO
SAMVAD,Room No 314, 
Mini Secreteriat,Sector 1, Panchkula - 134109
GSTIN - 06AAHTS9673C1Z5
To
Amar Ujala
Kindly publish the following advertisement in your publication(s) as per details given below:-
A. General:
S.No Item Description
1. Name of the Client Department/ Organisation 
Dept. to which advt. relates Multi Department
2. Office/ Authorized Officer of client department 
to which advt. relates
Director,
3. Ref. No/Date /''
5. Remarks INDICATIVE ADVT.
B. Advertisement Details:
1. Subject matter of the advertisement Tender
2. Caption of the advertisement, if any Tender
Sr RO No Newspaper Name/ 
Publication Date/ Not Later 
Than
Type/ Size/ Position/ 
Color or B&W
Rate/ Rate 
extra (if 
any)
Final Amount (Rs)
1 13/2024/40/23833/I/1
/4
Amar Ujala, Chandigarh
'02-01-2024' '02-01-2024'
DISPLAY / 40.00 (Sq. cm) 
/Any Page
B&W
Rs.35.55
(Per 
Sq.cm)
0.00%
0.00%
Rs. 1,422.00
C. Advertisement Display Details
Total Cost: Rs. 1,422.00
D. Terms & Conditions for release of advertisements:
i Publication Issue Publish the advertisement only in the main issue. In supplement 
(when required).
ii Space adjustment The advertisement is to be published in the same size as 
indicated above or minimum appropriate space. If space 
used is less than as indicated above then the bill be 
raised accordingly.
iii Translation of text In case of display advertisements, the text / language be 
published as provided by the department, don't translate 
it in any language without prior permission. 
iv Release Order Details In the advertisement to be published the Release Order 
No. and date be published in the same format as it has 
been indicated on the advertisement or in case it has not 
been indicated then the font size of the Release Order No. 
and date should not exceed 8 point-size and it should be 
printed at the bottom of the advertisement.
v Deduction Applicable 1. 10% deduction will be applicable for Advertisement 
Published in less favourable position as mentioned in 
Release order.
2. 50% deduction will be applicable for Advertisement 
Published in Irrelevant/Inappropriate Section / position.
3. 100% deduction will be applicable for Advertisement 
published later than the date mentioned in Release order.
SAMVAD Office: S.C.O. 23, Sector 7-C,Madhayamarg Chandigarh-160019 Ph: 0172 5088525-26-27

SOCIETY FOR ADVANCED MANAGEMENT OF COMMUNICATION 
AND VALUE ADDED DISSEMINATION OF INFORMATION
vi Forwarding copies of the issue of the publication 
carrying the advertisement
A copy of the each of the issue of the 
publication/edition carrying the advertisement must be 
sent direct to the client department/organization and 
also to the Executive Director (SAMVAD) at the above－mentioned address as has been indicated in the sender 
column under postal certificate within 7 days of the 
publication.
vii Rate Payable The rates are DAVP or DIPR applicable. At the time of any 
rate revision, department may be notified or informed 
immediately.
viii Bills Bills must be submitted within a period of one month 
from the date of publication of advertisement. In case of 
non-submission of bill within the stipulated period, bill 
of current date be issued i.e. date of submission of bill 
be mentioned in the bill.
1. In Case of Display advertisement 15% discount will 
be applicable by SAMVAD. 
2. In Case of Classified & Indicative Board & 
Corporations processing fee @ 2% (1% each from 
Concerned B&C and 1% from Media Houses).
ix In case of advertisement material found to be 
unsuitable for good re production
Please inform us immediately if the material released 
for advertisement is found unsuitable for good re－production to enable timely replacement.
x Concurrent release of advertisement of same 
client department/ organization
The multiple advertisement (especially display advt.) 
release of the same client should not appear together 
on the same page and also in the same issue unless 
otherwise specified. In case of display advertisement. 
Further, Display advertisement, duly designed and 
released by the department should be fully reproduced 
without any reduction in size. No change in the 
advertisement content, language and format be done 
without prior concurrence of the M.D -Cum- CEO 
(SAMVAD).
xi Display Advertisement Display advertisement, duly designed and supplied by 
us, should be fully reproduced without any reduction in 
size. No change in the advertisement content and 
format be done without prior concurrence of the M.D -
Cum- CEO/Execitive Director (SAMVAD).
xii Date of Publication of the Advertisement Advertisement should be published on the dates 
specified in the release order/scheduled dates. If the 
scheduled date is missed then the advertisement be 
treated as cancelled.
xiii Return of Advertisement Material Only required when needed by billing team.
xiv Disputes Arbitration All disputes subject to the jurisdiction of Chandigarh. 
In case of dispute, the matter would be referred to the 
Financial Commissioner/Commissioner & Secretary to 
Govt. Information, Public Relations and Cultural Affairs 
Department, Haryana for arbitration.
xv GST GST as applicable
Office Manager (Advertisements)
for MD -Cum- CEO (SAMVAD),
Haryana, Chandigarh
Note : This is computer generated Release Order, does not require signature.
SAMVAD Office: S.C.O. 23, Sector 7-C,Madhayamarg Chandigarh-160019 Ph: 0172 5088525-26-27"
77317 Amar Ujala.jpg,ADMAN ADVERTISING,07AAFA7942D1ZR,NONE,SA1462SAM213,NONE,North Central Railway,DELHI,NONE,North Central Railway,77317,23-03-2026,77317,Display,B,G02,GOVT. DISPLAY,DISPLAY ADVERTISING,,AU-JHA,24-03-2026,North Central... Key No. 651/26,7,8,56,,YES,RHS Position Requested,DAVP+GST AS Applicable,,"RELEASE ORDER
To,
The Advt, Manager,
Amar Ujala

Accredited to INS
L-13, Sangam Place,
Civil Lines, Prayagraj –
211001 (U.P.)
Mob. : 9936495324

ADMAN ADVERTISING
201-202, Mohan Complex, H-Block LSC,
Ashok Vihar, Phase-I, Delhi-110052
Phone: 47566300,47564300,47095897
E-mail: adman.ads@gmail.com
GST: 07AAFA7942D1ZR

NOTE: Please Publish ad very clear & in actual size only
(do not reduce/enlarge)
Dear Sir,
You are requested to place the following insertion's in your Newspaper/Magazine as under:
Key No. 77317 Rate : DAVP+GST AS Applicable
Client : North Central Railway

Date/s of Insertion/s EDITION/S SIZE CAPTION PAGE SP. POSITION
24.03.2026 Jhansi 8 cms. (Width) x 7 cms. (Height) (B&W) North Central... Key No. 651/26 3rd or 5th Page Requested RHS Position Requested

Note:-The Publication Must be on the Panel on DAVP on Scheduled Date.
Must No Shifting. Strictly Of Date Value.
Note : 1) Please forward all your bills along with 2 VTS within 7 days to our Prayagraj Office
2) Vernakular newspapers should publish the ad in their newspaper language only.
N.B.: In case space is not available on page and/or special position specifically mentioned in the above release order the same may be treated as cancelled.
Bill should strictly be provided within 10 days of release of advertisement.
* REMARKS :
* CD/PROOF/ART PULL : Material by e-mail:
* ENCLOSURE :

For ADMAN ADVERTISING
Authorised Signatory"
